day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
6,2009,01,17,2009-01-17,10.2,-0.1,1032.4,14.8,3.6,8.9,999.9,19.0,1.4,0.0,2.0,0,511023
2,2009,03,03,2009-03-03,19.2,11.2,1015.8,10.0,8.0,21.0,999.9,28.0,12.2,0.16,3.1,0,472839
1,2009,01,12,2009-01-12,26.9,21.9,1017.0,9.6,5.8,12.0,999.9,32.0,19.4,0.07,1.2,0,414642
6,2009,01,31,2009-01-31,25.7,15.7,1008.7,11.4,10.1,17.1,22.9,32.0,21.2,0.0,999.9,0,539574
3,2009,01,21,2009-01-21,23.4,15.4,1006.8,9.9,8.4,15.0,18.1,32.0,17.6,0.02,2.0,0,478268
1,2009,12,21,2009-12-21,24.1,10.6,9999.9,8.6,12.5,18.1,29.9,32.0,19.4,99.99,999.9,0,425440
2,2009,12,29,2009-12-29,26.3,10.9,9999.9,10.0,17.5,28.0,45.1,32.0,14.0,99.99,999.9,0,447016
6,2009,12,12,2009-12-12,26.0,6.3,9999.9,10.0,15.5,27.0,34.0,32.0,23.0,0.0,999.9,0,563707
1,2009,03,23,2009-03-23,29.3,12.3,1023.2,14.1,10.0,18.1,21.0,36.0,23.0,0.0,999.9,0,419795
2,2009,11,24,2009-11-24,48.4,47.8,9999.9,3.0,14.1,18.1,29.9,50.0,46.4,99.99,999.9,0,474969
4,2009,02,19,2009-02-19,41.3,39.4,996.2,3.5,8.6,21.0,26.0,50.0,32.0,0.35,999.9,1,507718
4,2009,11,26,2009-11-26,48.0,47.1,9999.9,5.3,3.4,9.9,999.9,50.0,46.4,0.0,999.9,1,309751
4,2009,03,19,2009-03-19,44.5,39.5,1016.7,11.2,8.7,15.0,21.0,50.0,39.2,0.13,999.9,0,496540
4,2009,10,29,2009-10-29,48.4,42.1,9999.9,8.5,14.1,24.1,35.0,50.0,39.2,99.99,999.9,0,523549
7,2009,10,18,2009-10-18,47.3,43.7,9999.9,5.5,16.7,28.0,41.0,50.0,44.6,99.99,999.9,0,472394
4,2009,11,12,2009-11-12,47.2,38.1,9999.9,10.0,15.7,22.9,29.9,50.0,46.4,0.0,999.9,0,533748
6,2009,10,17,2009-10-17,46.4,39.3,9999.9,9.1,11.5,18.1,26.0,50.0,44.6,99.99,999.9,0,541136
7,2009,12,27,2009-12-27,45.8,43.9,9999.9,6.1,17.4,25.1,34.0,50.0,41.0,99.99,999.9,1,312947
3,2009,11,25,2009-11-25,48.9,47.7,9999.9,1.9,10.3,17.1,25.1,50.0,48.2,99.99,999.9,1,470537
2,2009,03,17,2009-03-17,36.6,27.1,1026.4,15.0,4.7,8.9,999.9,50.0,24.8,0.0,999.9,0,461084
7,2009,11,29,2009-11-29,44.0,33.7,9999.9,10.0,12.6,18.1,27.0,50.0,39.2,0.0,999.9,0,392146
2,2009,12,15,2009-12-15,42.9,40.1,9999.9,9.8,4.8,12.0,999.9,50.0,37.4,0.0,999.9,0,508401
3,2009,10,14,2009-10-14,42.9,31.8,9999.9,10.0,7.3,15.0,25.1,50.0,33.8,0.0,999.9,0,510052
3,2009,11,18,2009-11-18,42.2,35.2,9999.9,10.0,2.9,7.0,999.9,50.0,32.0,0.0,999.9,0,504612
1,2009,11,23,2009-11-23,47.4,41.1,9999.9,9.4,11.9,20.0,26.0,50.0,44.6,99.99,999.9,0,445075
2,2009,03,31,2009-03-31,44.3,33.6,1015.2,14.4,10.4,16.9,21.0,50.0,35.6,0.1,999.9,0,460734
1,2009,03,30,2009-03-30,44.1,41.9,996.1,4.4,10.8,21.0,28.0,50.0,41.0,1.04,999.9,1,427313
4,2009,11,05,2009-11-05,42.7,34.9,9999.9,10.0,3.2,7.0,999.9,50.0,37.4,99.99,999.9,0,541229
3,2009,11,04,2009-11-04,45.1,31.2,9999.9,10.0,7.2,14.0,18.1,50.0,37.4,0.0,999.9,0,503664
5,2009,12,04,2009-12-04,46.9,37.6,9999.9,10.0,6.4,12.0,999.9,54.0,33.8,0.0,999.9,0,561295
7,2009,05,17,2009-05-17,62.6,58.6,1013.5,5.4,9.6,19.0,28.9,68.0,55.0,0.01,999.9,1,456758
7,2009,09,20,2009-09-20,52.3,41.2,1025.8,15.0,4.1,12.0,999.9,68.0,39.2,0.0,999.9,0,413176
5,2009,09,18,2009-09-18,57.2,51.0,1015.4,14.8,9.4,20.0,24.1,68.0,44.6,0.0,999.9,0,532709
4,2009,08,13,2009-08-13,66.5,64.8,1018.1,6.8,7.9,12.0,999.9,68.0,64.4,0.12,999.9,0,492965
3,2009,06,24,2009-06-24,61.1,58.8,1006.9,5.1,5.6,13.0,19.0,68.0,55.4,0.21,999.9,1,497137
1,2009,08,31,2009-08-31,64.2,57.5,1016.3,11.1,4.5,8.9,999.9,68.0,59.0,0.0,999.9,0,379068
5,2009,04,10,2009-04-10,50.5,33.7,1015.9,14.8,5.3,15.9,999.9,68.0,33.8,0.0,999.9,0,475873
5,2009,07,24,2009-07-24,66.0,62.4,1008.2,6.4,10.3,21.0,28.9,68.0,62.1,1.45,999.9,0,489946
7,2009,10,04,2009-10-04,62.6,60.4,9999.9,5.9,4.6,8.9,999.9,68.0,55.4,0.0,999.9,1,436158
4,2009,10,22,2009-10-22,57.0,50.6,9999.9,9.4,7.7,19.0,27.0,68.0,50.0,0.0,999.9,1,527704
2,2009,09,29,2009-09-29,61.2,51.4,1000.0,12.6,10.6,19.0,26.0,68.0,53.6,0.14,999.9,0,459106
6,2009,03,07,2009-03-07,51.1,39.2,1015.5,9.6,9.5,15.0,999.9,68.0,39.2,0.0,999.9,0,491087
5,2009,04,24,2009-04-24,54.6,37.6,1020.8,15.0,8.9,15.0,999.9,68.0,42.8,0.0,999.9,0,526612
1,2009,09,07,2009-09-07,55.9,47.8,1025.9,15.0,3.2,6.0,999.9,68.0,44.6,0.0,999.9,0,314305
2,2009,07,14,2009-07-14,68.1,53.4,1014.4,15.0,6.2,15.9,999.9,77.0,57.2,0.0,999.9,0,452898
6,2009,06,20,2009-06-20,68.4,63.8,1004.3,10.7,3.6,8.9,999.9,77.0,60.8,0.15,999.9,1,490010
7,2009,07,05,2009-07-05,69.2,55.7,1008.4,15.0,9.6,16.9,22.0,77.0,60.8,0.0,999.9,0,295276
7,2009,08,02,2009-08-02,71.1,67.1,1015.8,8.2,5.7,8.9,15.9,77.0,64.9,0.0,999.9,1,394197
4,2009,08,27,2009-08-27,68.8,56.4,1016.4,13.1,4.8,9.9,999.9,77.0,57.2,0.0,999.9,0,466090
3,2009,07,22,2009-07-22,72.7,68.2,1020.1,9.4,6.4,11.1,999.9,77.0,68.0,0.21,999.9,1,486132
6,2009,09,05,2009-09-05,65.3,57.5,1018.2,15.0,2.5,8.0,999.9,77.0,53.6,0.0,999.9,0,393872
3,2009,07,15,2009-07-15,68.4,54.0,1017.2,15.0,7.9,18.1,22.9,77.0,55.4,0.0,999.9,0,485261
4,2009,09,24,2009-09-24,69.9,64.7,1014.5,9.5,8.6,17.1,22.0,77.0,62.6,0.0,999.9,0,494359
7,2009,05,31,2009-05-31,64.7,54.7,1006.8,13.1,7.5,18.1,26.0,77.0,50.0,99.99,999.9,1,409350
1,2009,01,19,2009-01-19,31.9,30.1,1004.3,5.1,4.5,7.0,999.9,37.0,28.4,0.3,1.2,0,352534
7,2009,01,11,2009-01-11,28.8,27.3,1009.7,3.7,9.0,21.0,25.1,39.0,21.2,0.49,2.0,0,405075
7,2009,01,18,2009-01-18,27.3,25.4,1019.4,6.0,5.6,16.9,20.0,39.0,12.2,0.34,2.0,0,419962
2,2009,03,24,2009-03-24,29.7,16.5,1024.7,15.0,14.8,26.0,35.9,41.0,17.6,0.0,999.9,0,454554
1,2009,12,07,2009-12-07,32.0,25.3,9999.9,10.0,3.5,8.9,999.9,41.0,24.8,0.0,999.9,0,468013
7,2009,02,15,2009-02-15,31.0,15.6,1011.6,15.0,6.0,13.0,999.9,41.0,21.2,0.0,999.9,0,451649
7,2009,12,06,2009-12-06,34.3,29.3,9999.9,7.1,12.6,22.0,41.0,41.0,28.4,99.99,999.9,0,454212
1,2009,01,05,2009-01-05,31.2,24.7,1012.2,13.1,3.9,8.9,999.9,41.0,19.4,0.0,1.2,0,370901
5,2009,01,23,2009-01-23,30.1,23.4,1015.6,14.2,5.1,12.0,999.9,41.0,14.0,0.0,1.2,0,519394
1,2009,02,23,2009-02-23,32.6,21.1,1007.2,12.6,18.4,28.0,34.0,41.0,26.6,0.13,999.9,0,455091
6,2009,12,26,2009-12-26,36.2,32.9,9999.9,10.0,9.2,18.1,25.1,41.0,32.0,0.0,999.9,0,320616
1,2009,12,28,2009-12-28,35.2,32.3,9999.9,9.5,6.6,20.0,28.0,41.0,26.6,99.99,999.9,0,375455
5,2009,02,20,2009-02-20,27.4,14.8,999.3,11.7,16.8,22.9,31.1,41.0,21.2,0.0,999.9,0,561972
6,2009,05,02,2009-05-02,52.7,48.3,1010.2,6.1,8.3,15.0,22.0,59.0,48.2,0.11,999.9,1,510175
1,2009,11,16,2009-11-16,53.9,47.6,9999.9,5.7,5.8,15.9,20.0,59.0,46.4,99.99,999.9,1,441757
5,2009,10,02,2009-10-02,51.4,42.6,9999.9,10.0,5.6,11.1,15.0,59.0,41.0,99.99,999.9,0,547031
6,2009,04,04,2009-04-04,51.1,43.2,992.1,10.0,14.1,21.0,27.0,59.0,44.1,0.66,999.9,1,534600
1,2009,05,04,2009-05-04,49.9,46.8,1018.1,7.6,2.9,8.9,999.9,59.0,44.6,0.15,999.9,0,462212
2,2009,10,13,2009-10-13,48.9,43.0,9999.9,10.0,6.1,15.9,22.9,59.0,41.0,99.99,999.9,0,481219
4,2009,04,23,2009-04-23,51.0,42.9,1006.1,9.2,13.0,21.0,29.9,59.0,44.1,0.4,999.9,0,519185
6,2009,09,26,2009-09-26,50.5,39.0,1026.3,15.0,5.0,9.9,999.9,59.0,39.2,0.0,999.9,0,535047
2,2009,10,20,2009-10-20,42.4,36.2,9999.9,8.6,4.7,15.0,21.0,59.0,28.4,99.99,999.9,1,473346
4,2009,11,19,2009-11-19,41.9,37.5,9999.9,10.0,3.1,9.9,999.9,59.0,30.2,0.0,999.9,0,531206
2,2009,04,14,2009-04-14,46.5,26.8,1017.4,15.0,2.9,9.9,999.9,59.0,39.2,0.0,999.9,0,482164
5,2009,09,25,2009-09-25,55.8,46.8,1019.6,15.0,10.3,22.9,31.1,61.0,50.0,0.0,999.9,0,534164
4,2009,09,10,2009-09-10,57.4,48.8,1028.8,12.9,8.8,16.9,18.1,63.0,51.8,0.0,999.9,0,530388
3,2009,08,19,2009-08-19,76.8,70.1,1013.4,8.4,8.9,14.0,20.0,86.0,70.0,0.0,999.9,0,471242
4,2009,08,20,2009-08-20,76.8,71.0,1014.3,6.6,4.5,9.9,999.9,86.0,69.8,99.99,999.9,1,498510
2,2009,08,18,2009-08-18,76.5,69.0,1017.2,6.3,7.5,15.0,999.9,86.0,68.0,0.0,999.9,0,464610
7,2009,08,16,2009-08-16,75.3,69.0,1020.8,8.7,6.5,8.9,999.9,86.0,68.0,0.0,999.9,0,401117
2,2009,08,11,2009-08-11,76.5,70.1,1008.3,9.3,3.8,11.1,999.9,86.0,68.0,0.0,999.9,0,457720
4,2009,01,01,2009-01-01,12.2,2.8,1012.6,11.4,18.5,26.0,33.0,21.2,5.0,0.55,5.1,0,327625
3,2009,03,04,2009-03-04,18.9,2.5,1024.3,15.0,8.6,15.9,21.0,30.2,6.8,0.0,3.1,0,488197
3,2009,12,30,2009-12-30,17.2,-2.6,9999.9,10.0,12.2,22.9,33.0,30.2,10.4,0.0,999.9,0,429635
2,2009,01,27,2009-01-27,20.8,9.4,1029.6,15.0,3.2,8.9,999.9,30.2,12.2,0.0,999.9,0,471788
4,2009,10,15,2009-10-15,38.8,34.2,9999.9,8.8,4.8,12.0,17.1,46.4,30.2,99.99,999.9,0,533333
1,2009,03,09,2009-03-09,39.6,37.9,1013.7,6.6,7.9,22.0,25.1,46.4,33.8,0.39,999.9,0,406846
5,2009,02,13,2009-02-13,39.1,22.8,1000.3,14.3,16.7,22.9,29.9,46.4,30.2,0.0,999.9,0,549188
6,2009,03,14,2009-03-14,32.8,23.8,1026.0,15.0,4.5,8.9,999.9,46.4,19.4,0.0,999.9,0,515382
7,2009,04,12,2009-04-12,40.2,26.3,1012.0,13.9,11.6,26.0,29.9,46.4,33.8,0.64,999.9,0,406220
5,2009,11,27,2009-11-27,45.9,45.1,9999.9,5.1,12.3,17.1,28.0,46.4,44.6,99.99,999.9,0,354945
2,2009,03,10,2009-03-10,36.5,30.7,1026.5,12.9,6.5,15.0,999.9,46.4,24.8,0.29,999.9,0,475324
5,2009,10,16,2009-10-16,42.6,39.0,9999.9,5.9,15.5,22.9,36.9,46.4,41.0,99.99,999.9,0,550645
6,2009,11,07,2009-11-07,37.3,27.5,9999.9,10.0,6.8,15.0,20.0,46.4,26.6,0.0,999.9,0,540723
5,2009,11,06,2009-11-06,40.4,33.0,9999.9,10.0,7.5,17.1,26.0,46.4,37.4,99.99,999.9,0,545020
4,2009,03,12,2009-03-12,38.8,20.9,1022.9,11.3,9.3,15.9,24.1,46.4,30.2,0.0,999.9,1,529308
3,2009,01,07,2009-01-07,33.4,31.0,1005.1,4.3,5.2,11.1,999.9,46.9,28.4,0.45,999.9,1,371043
1,2009,10,19,2009-10-19,42.7,38.8,9999.9,7.4,10.0,19.0,33.0,48.9,35.6,99.99,999.9,0,452765
5,2009,09,11,2009-09-11,61.0,56.3,1026.9,11.9,8.5,15.0,19.0,69.8,55.4,0.86,999.9,0,549753
6,2009,10,31,2009-10-31,55.3,50.8,9999.9,10.0,10.2,22.9,33.0,69.8,37.4,0.0,999.9,0,542854
7,2009,08,30,2009-08-30,60.4,59.3,1010.5,3.4,4.1,15.0,19.0,69.8,53.6,2.85,999.9,0,381672
6,2009,06,06,2009-06-06,58.2,55.4,1011.8,6.2,9.0,15.9,999.9,69.8,53.1,0.59,999.9,0,461816
7,2009,06,14,2009-06-14,62.4,57.9,1014.6,12.0,5.6,8.9,999.9,69.8,54.0,0.04,999.9,0,398991
4,2009,09,03,2009-09-03,58.9,49.3,1021.9,15.0,1.6,5.1,999.9,69.8,48.2,0.0,999.9,0,457529
1,2009,04,27,2009-04-27,59.4,47.0,1027.7,13.2,6.5,13.0,999.9,69.8,51.8,0.0,999.9,0,295156
1,2009,06,08,2009-06-08,64.2,52.5,1015.3,12.9,4.9,9.9,999.9,69.8,59.0,0.02,999.9,0,384249
1,2009,09,28,2009-09-28,65.2,59.6,999.5,10.5,10.8,15.9,25.1,69.8,60.8,1.44,999.9,0,393072
5,2009,05,15,2009-05-15,60.8,56.5,1024.9,6.7,11.1,15.9,22.9,69.8,53.1,0.21,999.9,1,534863
2,2009,09,01,2009-09-01,59.7,49.1,1022.9,15.0,4.5,11.1,14.0,69.8,50.0,0.0,999.9,0,415946
5,2009,12,25,2009-12-25,34.5,31.4,9999.9,10.0,4.6,11.1,14.0,37.4,32.0,0.0,999.9,0,233221
4,2009,12,24,2009-12-24,24.9,18.5,9999.9,7.4,8.9,12.0,21.0,37.4,12.2,99.99,999.9,0,382635
3,2009,02,25,2009-02-25,27.1,15.1,1028.7,15.0,2.4,9.9,999.9,37.4,14.0,0.0,999.9,0,487081
2,2009,02,24,2009-02-24,26.1,11.1,1018.2,15.0,10.3,17.1,20.0,37.4,17.6,0.0,999.9,0,487119
5,2009,05,01,2009-05-01,52.1,48.0,1017.5,6.2,13.0,21.0,27.0,55.4,46.4,0.01,999.9,1,536561
3,2009,05,27,2009-05-27,52.0,46.3,1020.6,9.1,5.3,12.0,999.9,55.4,48.2,0.08,999.9,1,479870
3,2009,03,18,2009-03-18,40.7,29.5,1022.9,15.0,9.0,21.0,26.0,55.4,26.6,0.0,999.9,0,450035
6,2009,02,28,2009-02-28,46.9,40.3,1016.7,10.3,13.2,21.0,27.0,55.4,33.8,0.37,999.9,1,527443
4,2009,03,26,2009-03-26,37.5,22.8,1021.1,14.4,4.2,11.1,999.9,55.4,23.0,0.0,999.9,0,515311
3,2009,10,28,2009-10-28,52.6,51.5,9999.9,5.1,10.0,28.0,38.1,55.4,50.0,99.99,999.9,0,512175
2,2009,10,27,2009-10-27,44.8,42.3,9999.9,9.8,4.8,17.1,22.0,55.4,33.8,99.99,999.9,0,489586
1,2009,04,20,2009-04-20,44.1,35.2,1023.3,11.9,8.7,18.1,24.1,55.4,28.4,0.0,999.9,1,478774
7,2009,03,15,2009-03-15,42.0,32.5,1022.1,11.5,5.0,8.0,999.9,55.4,32.0,0.0,999.9,0,418081
1,2009,10,26,2009-10-26,47.0,38.2,9999.9,10.0,5.2,8.9,14.0,55.4,37.4,0.0,999.9,0,448371
2,2009,11,03,2009-11-03,49.6,43.5,9999.9,10.0,7.7,12.0,18.1,55.4,46.4,0.0,999.9,0,473233
5,2009,05,22,2009-05-22,66.3,52.7,1019.3,14.8,12.3,16.9,19.0,78.8,54.0,0.0,999.9,0,495935
4,2009,07,16,2009-07-16,71.0,64.0,1012.8,13.8,10.6,20.0,28.0,78.8,64.0,0.0,999.9,0,499082
4,2009,05,21,2009-05-21,66.2,45.7,1024.0,15.0,13.0,21.0,28.0,78.8,52.0,0.0,999.9,0,517297
1,2009,07,06,2009-07-06,70.0,59.4,1008.0,14.8,3.8,9.9,999.9,78.8,59.0,0.0,999.9,0,359351
1,2009,07,20,2009-07-20,70.2,61.8,1021.4,13.8,3.4,7.0,999.9,78.8,62.6,0.0,999.9,0,410911
1,2009,07,27,2009-07-27,74.8,69.6,1014.0,6.5,11.2,19.0,24.1,78.8,69.8,0.0,999.9,1,421588
7,2009,07,19,2009-07-19,71.5,62.3,1014.9,12.6,6.8,15.9,20.0,78.8,64.4,0.0,999.9,1,391429
3,2009,05,20,2009-05-20,61.4,45.7,1027.3,15.0,8.1,12.0,999.9,78.8,48.9,0.0,999.9,0,504060
4,2009,12,31,2009-12-31,27.1,20.8,9999.9,7.7,1.6,8.0,999.9,37.9,17.6,99.99,999.9,0,461201
5,2009,01,02,2009-01-02,20.0,12.0,1015.5,13.7,7.4,20.0,21.0,39.9,5.0,0.0,3.1,0,376708
5,2009,08,21,2009-08-21,79.8,75.3,1014.1,6.5,9.3,15.0,20.0,87.8,70.0,0.0,999.9,1,486161
1,2009,08,24,2009-08-24,75.4,70.8,1014.2,7.5,4.5,7.0,999.9,80.6,71.6,0.0,999.9,0,382999
5,2009,07,31,2009-07-31,74.1,69.9,1012.2,6.3,7.9,17.1,22.9,80.6,66.2,0.0,999.9,0,498025
2,2009,08,25,2009-08-25,71.6,67.3,1018.3,6.6,4.2,8.0,999.9,80.6,64.4,99.99,999.9,1,426678
2,2009,08,04,2009-08-04,73.7,67.9,1014.9,5.3,5.9,12.0,15.0,80.6,68.0,0.0,999.9,1,465754
6,2009,08,01,2009-08-01,72.5,65.8,1015.4,9.7,3.6,7.0,999.9,80.6,64.4,0.98,999.9,0,438823
7,2009,07,26,2009-07-26,72.9,70.0,1014.5,3.5,8.3,14.0,19.0,80.6,66.2,0.0,999.9,1,410245
6,2009,07,04,2009-07-04,71.7,64.6,1007.3,9.6,8.7,15.9,19.0,80.6,61.0,0.0,999.9,1,302128
5,2009,08,14,2009-08-14,68.2,60.4,1020.7,9.8,4.0,11.1,999.9,80.6,59.0,0.27,999.9,0,492042
5,2009,06,26,2009-06-26,68.8,65.0,1006.0,8.6,7.5,13.0,999.9,80.6,59.0,0.03,999.9,0,522070
6,2009,07,25,2009-07-25,70.4,63.0,1013.6,12.7,6.6,13.0,999.9,80.6,62.6,0.0,999.9,0,449643
6,2009,07,18,2009-07-18,74.7,71.2,1007.8,4.4,8.4,14.0,18.1,80.6,70.0,0.78,999.9,1,438883
5,2009,08,07,2009-08-07,70.0,57.0,1013.3,14.6,5.5,9.9,999.9,80.6,59.0,0.0,999.9,0,485827
3,2009,08,05,2009-08-05,74.3,69.9,1011.8,5.5,10.0,15.9,21.0,80.6,68.0,99.99,999.9,1,487787
7,2009,06,07,2009-06-07,67.6,55.2,1014.2,9.2,8.4,14.0,999.9,80.6,53.1,0.0,999.9,1,419990
6,2009,05,30,2009-05-30,66.4,60.1,1003.8,7.1,6.3,14.0,19.0,80.6,59.0,0.0,999.9,1,483608
3,2009,07,29,2009-07-29,74.5,71.3,1012.9,4.7,8.9,12.0,999.9,80.6,66.9,99.99,999.9,1,489150
2,2009,12,22,2009-12-22,23.3,5.6,9999.9,10.0,10.7,15.9,24.1,28.4,17.6,0.0,999.9,0,455090
5,2009,12,18,2009-12-18,16.0,-3.6,9999.9,10.0,8.2,18.1,25.1,28.4,6.8,0.0,999.9,0,581923
1,2009,01,26,2009-01-26,19.3,5.8,1027.9,15.0,3.4,9.9,999.9,28.4,8.6,0.0,999.9,0,434081
4,2009,12,17,2009-12-17,23.8,4.3,9999.9,10.0,12.6,20.0,28.9,28.4,17.6,0.0,999.9,0,566530
3,2009,04,01,2009-04-01,36.2,31.5,1024.6,10.7,4.1,9.9,999.9,42.8,24.8,0.0,999.9,0,387363
7,2009,02,22,2009-02-22,34.9,31.6,1019.5,10.2,5.8,15.0,17.1,42.8,24.8,0.23,999.9,0,445271
6,2009,03,21,2009-03-21,30.6,19.0,1030.9,15.0,5.4,15.9,999.9,42.8,19.4,0.0,999.9,0,501495
4,2009,04,30,2009-04-30,45.0,26.8,1030.9,15.0,5.2,11.1,999.9,60.8,32.0,0.0,999.9,0,516891
2,2009,04,21,2009-04-21,54.7,52.0,1013.1,3.1,13.8,22.0,29.9,60.8,45.0,2.14,999.9,1,467425
3,2009,04,29,2009-04-29,50.5,32.5,1028.2,12.6,10.6,17.1,24.1,60.8,44.6,0.01,999.9,0,492792
5,2009,04,03,2009-04-03,52.9,52.5,1007.1,1.0,9.3,22.0,28.9,60.8,43.0,0.08,999.9,1,539873
4,2009,04,09,2009-04-09,46.9,32.5,1009.0,14.1,9.1,19.0,25.1,60.8,28.4,0.0,999.9,0,476452
3,2009,02,11,2009-02-11,45.7,41.0,1013.4,6.3,5.1,8.9,999.9,60.8,37.4,0.0,999.9,0,463213
5,2009,02,27,2009-02-27,46.0,39.9,1022.7,15.0,9.6,19.0,28.0,60.8,35.1,99.99,999.9,0,526500
5,2009,11,20,2009-11-20,56.9,53.7,9999.9,8.5,12.1,22.9,28.9,60.8,48.2,99.99,999.9,0,553471
3,2009,05,06,2009-05-06,50.4,46.9,1018.3,7.1,5.5,9.9,999.9,60.8,46.4,1.19,999.9,0,517448
5,2009,10,23,2009-10-23,49.5,41.4,9999.9,10.0,12.0,18.1,26.0,60.8,44.6,0.0,999.9,0,560164
7,2009,11,08,2009-11-08,51.3,44.6,9999.9,10.0,9.3,17.1,22.9,60.8,42.8,0.0,999.9,0,447257
1,2009,06,22,2009-06-22,59.2,58.5,999.5,1.8,17.7,27.0,32.1,60.8,57.0,0.27,999.9,0,417818
7,2009,10,11,2009-10-11,48.1,38.7,9999.9,10.0,7.0,18.1,25.1,60.8,32.0,0.0,999.9,0,463646
1,2009,05,11,2009-05-11,53.6,36.3,1015.5,15.0,7.4,14.0,20.0,60.8,44.6,0.0,999.9,0,435149
4,2009,01,15,2009-01-15,15.6,7.2,1021.5,8.6,7.5,14.0,999.9,21.9,14.0,0.0,3.9,1,486450
6,2009,01,10,2009-01-10,21.6,9.6,1021.9,14.5,6.9,20.0,999.9,28.9,15.8,99.99,999.9,0,483350
3,2009,02,04,2009-02-04,22.2,17.6,1011.0,8.9,6.3,17.1,999.9,28.9,12.2,0.28,3.9,0,356567
6,2009,12,19,2009-12-19,23.8,9.0,9999.9,10.0,8.0,19.0,26.0,33.8,15.8,0.0,999.9,0,488811
4,2009,01,22,2009-01-22,25.1,14.5,1011.9,14.2,10.1,17.1,21.0,33.8,19.4,0.0,1.2,0,498241
3,2009,11,11,2009-11-11,49.6,41.0,9999.9,10.0,12.0,20.0,27.0,51.8,46.4,0.0,999.9,0,485349
5,2009,11,13,2009-11-13,49.9,46.1,9999.9,8.9,17.8,24.1,34.0,51.8,46.4,99.99,999.9,0,552893
4,2009,04,16,2009-04-16,43.7,30.2,1023.5,15.0,8.8,15.0,18.1,51.8,35.6,0.0,999.9,0,520593
6,2009,03,28,2009-03-28,43.4,41.1,1017.3,5.5,5.0,12.0,999.9,51.8,37.4,0.0,999.9,1,513575
5,2009,03,06,2009-03-06,41.3,33.7,1022.4,12.3,12.4,22.9,33.0,51.8,30.2,0.0,2.0,0,527054
2,2009,05,05,2009-05-05,50.4,48.9,1019.9,4.3,8.0,15.9,21.0,51.8,46.4,0.23,999.9,0,517761
1,2009,11,02,2009-11-02,47.2,41.1,9999.9,9.6,9.3,15.9,21.0,51.8,41.0,99.99,999.9,0,453816
6,2009,04,11,2009-04-11,44.9,43.2,1010.5,3.8,11.8,22.0,28.9,51.8,39.2,0.15,999.9,1,487794
7,2009,04,19,2009-04-19,49.0,42.1,1016.8,12.2,9.0,19.0,28.0,51.8,44.1,0.02,999.9,0,438845
7,2009,11,22,2009-11-22,44.7,39.0,9999.9,9.4,8.2,17.1,22.9,51.8,37.4,0.0,999.9,0,451511
3,2009,07,08,2009-07-08,64.3,60.6,1010.5,8.6,7.0,11.1,999.9,71.6,59.0,1.36,999.9,0,450549
5,2009,06,12,2009-06-12,66.6,65.3,1008.0,3.2,6.7,14.0,999.9,71.6,57.0,0.24,999.9,1,530227
7,2009,05,10,2009-05-10,63.1,47.6,1002.5,11.2,14.3,22.9,28.9,71.6,53.1,0.02,999.9,0,422874
4,2009,06,18,2009-06-18,62.3,53.3,1019.6,14.8,5.3,14.0,19.0,71.6,50.0,0.01,999.9,0,534044
6,2009,05,16,2009-05-16,60.6,55.2,1021.2,9.2,5.5,11.1,999.9,71.6,50.0,0.1,999.9,1,526549
3,2009,09,02,2009-09-02,58.8,47.6,1025.2,15.0,3.3,8.0,999.9,71.6,46.4,0.0,999.9,0,439318
6,2009,09,12,2009-09-12,66.0,64.3,1016.2,4.0,6.1,19.0,999.9,71.6,62.6,1.79,999.9,0,519468
6,2009,08,29,2009-08-29,66.0,63.1,1012.8,5.1,8.6,15.0,19.0,71.6,59.0,0.63,999.9,0,424371
2,2009,07,21,2009-07-21,68.6,65.7,1021.5,5.3,6.3,12.0,999.9,71.6,64.4,0.23,999.9,1,477807
1,2009,09,21,2009-09-21,58.5,49.7,1025.8,15.0,3.6,9.9,999.9,71.6,44.6,0.0,999.9,0,432885
6,2009,04,18,2009-04-18,56.6,36.1,1013.2,14.2,5.2,16.9,999.9,71.6,45.0,0.0,999.9,0,521590
6,2009,07,11,2009-07-11,63.0,51.9,1022.4,14.1,4.9,11.1,999.9,71.6,48.0,0.0,999.9,0,442918
3,2009,10,07,2009-10-07,59.7,52.5,9999.9,8.0,12.7,27.0,34.0,71.6,50.0,99.99,999.9,0,502680
3,2009,06,17,2009-06-17,58.7,47.7,1024.4,13.9,3.3,8.0,999.9,71.6,41.0,0.0,999.9,0,506129
5,2009,01,16,2009-01-16,8.1,-2.2,1028.8,15.0,4.9,12.0,999.9,17.1,-5.8,0.19,3.1,0,535200
4,2009,02,05,2009-02-05,8.3,1.0,1018.9,15.0,10.2,19.0,21.0,17.1,3.2,0.0,3.1,0,535477
7,2009,01,25,2009-01-25,15.1,3.7,1024.0,15.0,8.7,15.0,19.0,26.1,5.0,0.0,999.9,0,460723
5,2009,02,06,2009-02-06,12.8,3.9,1027.0,15.0,6.7,21.0,999.9,26.1,5.0,0.0,2.0,0,546688
7,2009,02,01,2009-02-01,30.4,19.0,1013.3,15.0,9.8,21.0,29.9,48.2,17.6,0.0,999.9,0,429758
4,2009,01,08,2009-01-08,37.9,30.7,989.8,9.7,16.4,27.0,35.0,48.2,32.0,0.65,999.9,1,477502
